life_years,acquisition_year,effective_age,percent_good
12,2025,1,0.90
12,2024,2,0.80
12,2023,3,0.70
12,2022,4,0.65
12,2021,5,0.60
12,2020,6,0.55
12,2019,7,0.45
12,2018,8,0.40
12,2017,9,0.35
12,2016,10,0.30
12,2015,11,0.25
12,2014,12,0.20

9,2025,1,0.90
9,2024,2,0.80
9,2023,3,0.70
9,2022,4,0.60
9,2021,5,0.50
9,2020,6,0.40
9,2019,7,0.30
9,2018,8,0.20
9,2017,9,0.10

8,2025,1,0.75
8,2024,2,0.60
8,2023,3,0.45
8,2022,4,0.35
8,2021,5,0.25
8,2020,6,0.20
8,2019,7,0.10
8,2018,8,0.05

6,2025,1,0.75
6,2024,2,0.50
6,2023,3,0.35
6,2022,4,0.25
6,2021,5,0.15
6,2020,6,0.10

5,2025,1,0.75
5,2024,2,0.45
5,2023,3,0.20
5,2022,4,0.15
5,2021,5,0.10

4,2025,1,0.40
4,2024,2,0.20
4,2023,3,0.10
4,2022,4,0.05

30,2025,1,0.97
30,2024,2,0.94
30,2023,3,0.91
30,2022,4,0.88
30,2021,5,0.85
30,2020,6,0.83
30,2019,7,0.81
30,2018,8,0.79
30,2017,9,0.77
30,2016,10,0.75
30,2015,11,0.73
30,2014,12,0.71
30,2013,13,0.69
30,2012,14,0.67
30,2011,15,0.65
30,2010,16,0.63
30,2009,17,0.61
30,2008,18,0.59
30,2007,19,0.57
30,2006,20,0.55
30,2005,21,0.53
30,2004,22,0.51
30,2003,23,0.49
30,2002,24,0.47
30,2001,25,0.45
30,2000,26,0.43
30,1999,27,0.41
30,1998,28,0.39
30,1997,29,0.37
30,1996,30,0.35
